Category,Model,Sq Ft,Base Price,Surcharge,Dealer Pack,True Cost,MSRP (65% Markup),Markup Amount,Markup %
Aspire Sectional,52' Lincoln,1456,"$52,795",$946,"$2,500","$56,241","$92,798","$36,557",65%
Aspire Sectional,52' Warren,1456,"$56,295",$946,"$2,500","$59,741","$98,573","$38,832",65%
Aspire Sectional,52' Jackson,1456,"$56,495",$946,"$2,500","$59,941","$98,903","$38,962",65%
Aspire Sectional,Pierre,1456,"$56,085",$946,"$2,500","$59,531","$98,226","$38,695",65%
Aspire Sectional,52' Summit,1456,"$55,375",$946,"$2,500","$58,821","$97,055","$38,234",65%
Aspire Sectional,Livingston,1456,"$56,395",$946,"$2,500","$59,841","$98,738","$38,897",65%
Aspire Sectional,56' Ventura,1568,"$57,275","$1,019","$2,500","$60,794","$100,310","$39,516",65%
Aspire Sectional,56' Pontiac,1568,"$57,495","$1,019","$2,500","$61,014","$100,673","$39,659",65%
Aspire Sectional,56' Bay Port,1568,"$61,245","$1,019","$2,500","$64,764","$106,861","$42,097",65%
Aspire Sectional,56' Lincoln,1568,"$57,055","$1,019","$2,500","$60,574","$99,947","$39,373",65%
Aspire Sectional,56' Warren,1568,"$57,145","$1,019","$2,500","$60,664","$100,096","$39,432",65%
Aspire Sectional,56' Jackson,1568,"$57,345","$1,019","$2,500","$60,864","$100,426","$39,562",65%
Aspire Sectional,56' Silverton,1568,"$55,495","$1,019","$2,500","$59,014","$97,373","$38,359",65%
Aspire Sectional,56' Easton,1568,"$60,555","$1,019","$2,500","$64,074","$105,722","$41,648",65%
Aspire Sectional,Belvidere,1568,"$57,995","$1,019","$2,500","$61,514","$101,498","$39,984",65%
Aspire Sectional,56' Summit,1568,"$57,035","$1,019","$2,500","$60,554","$99,914","$39,360",65%
Aspire Sectional,60' Woodward,1680,"$60,195","$1,092","$2,500","$63,787","$105,249","$41,462",65%
Aspire Sectional,60' Bay Port,1680,"$63,755","$1,092","$2,500","$67,347","$111,123","$43,776",65%
Aspire Sectional,60' Warren,1680,"$59,615","$1,092","$2,500","$63,207","$104,292","$41,085",65%
Aspire Sectional,60' Silverton,1680,"$58,905","$1,092","$2,500","$62,497","$103,120","$40,623",65%
Aspire Sectional,60' Easton,1680,"$62,925","$1,092","$2,500","$66,517","$109,753","$43,236",65%
Aspire Sectional,60' Odyssey,1680,"$58,995","$1,092","$2,500","$62,587","$103,269","$40,682",65%
Aspire Sectional,64' Woodward,1792,"$63,065","$1,165","$2,500","$66,730","$110,104","$43,374",65%
Aspire Sectional,Fillmore,1792,"$64,345","$1,165","$2,500","$68,010","$112,216","$44,206",65%
Aspire Sectional,Georgetown,1792,"$63,595","$1,165","$2,500","$67,260","$110,979","$43,719",65%
Aspire Sectional,64' Summit,1792,"$62,695","$1,165","$2,500","$66,360","$109,494","$43,134",65%
Aspire Sectional,68' Woodward,1904,"$67,735","$1,238","$2,500","$71,473","$117,930","$46,457",65%
Aspire Sectional,68' Odyssey,1904,"$64,995","$1,238","$2,500","$68,733","$113,409","$44,676",65%
Aspire Sectional,68' Summit,1904,"$65,950","$1,238","$2,500","$69,688","$114,985","$45,297",65%
Aspire Sectional,Baldwin,2128,"$71,125","$1,383","$2,500","$75,008","$123,763","$48,755",65%
Aspire Sectional,32' Casper,768,"$38,745",$499,"$2,500","$41,744","$68,878","$27,134",65%
Aspire Sectional,36' Casper,864,"$40,810",$562,"$2,500","$43,872","$72,389","$28,517",65%
Aspire Sectional,40' Sheridan,960,"$46,440",$624,"$2,500","$49,564","$81,781","$32,217",65%
Aspire Sectional,44' Sundance,1056,"$50,595",$686,"$2,500","$53,781","$88,739","$34,958",65%
Aspire Sectional,44' Sheridan,1056,"$48,585",$686,"$2,500","$51,771","$85,422","$33,651",65%
Aspire Sectional,48' Sundance,1152,"$52,725",$749,"$2,500","$55,974","$92,357","$36,383",65%
Aspire Sectional,48' Sheridan,1152,"$50,940",$749,"$2,500","$54,189","$89,412","$35,223",65%
Aspire Sectional,Fairplay,1152,"$51,235",$749,"$2,500","$54,484","$89,899","$35,415",65%
Aspire Sectional,52' Broomfield,1248,"$54,445",$811,"$2,500","$57,756","$95,297","$37,541",65%
Aspire Sectional,52' Sundance,1248,"$55,245",$811,"$2,500","$58,556","$96,617","$38,061",65%
Aspire Sectional,56' Broomfield,1344,"$58,045",$874,"$2,500","$61,419","$101,341","$39,922",65%
Aspire Sectional,Brooklyn,1344,"$62,875",$874,"$2,500","$66,249","$109,311","$43,062",65%
Aspire Sectional,Glenrock,1440,"$61,285",$936,"$2,500","$64,721","$106,790","$42,069",65%
Aspire Sectional,52' Thornton,1664,"$58,690","$1,082","$2,500","$62,272","$102,749","$40,477",65%
Aspire Sectional,56' Thornton,1792,"$61,190","$1,165","$2,500","$64,855","$107,011","$42,156",65%
Aspire Sectional,60' Shelby,1920,"$68,395","$1,248","$2,500","$72,143","$119,036","$46,893",65%
Aspire Sectional,Timberlake,1920,"$64,995","$1,248","$2,500","$68,743","$113,426","$44,683",65%
Aspire Sectional,Odyssey,1920,"$64,995","$1,248","$2,500","$68,743","$113,426","$44,683",65%
Aspire Sectional,64' Henderson,2048,"$67,795","$1,331","$2,500","$71,626","$118,183","$46,557",65%
Aspire Sectional,64' Shelby,2048,"$69,995","$1,331","$2,500","$73,826","$121,813","$47,987",65%
Aspire Sectional,Madison,2176,"$72,795","$1,414","$2,500","$76,709","$126,570","$49,861",65%
Aspire Sectional,68' Shelby,2176,"$74,995","$1,414","$2,500","$78,909","$130,200","$51,291",65%
Aspire Sectional,68' Henderson,2176,"$71,195","$1,414","$2,500","$75,109","$123,930","$48,821",65%
Aspire Sectional,Winston,2304,"$79,995","$1,498","$2,500","$83,993","$138,588","$54,595",65%
Aspire Sectional,Verona,2432,"$79,995","$1,581","$2,500","$84,076","$138,725","$54,649",65%
Aspire Sectional,76' Henderson,2432,"$80,295","$1,581","$2,500","$84,376","$139,220","$54,844",65%
Prime Series,PEAK,784,"$30,195",$0,"$2,500","$32,695","$53,947","$21,252",65%
Prime Series,PEAK REVERSE AISLE,784,"$30,195",$0,"$2,500","$32,695","$53,947","$21,252",65%
Prime Series,CREST,840,"$31,980",$0,"$2,500","$34,480","$56,892","$22,412",65%
Prime Series,CREST REVERSE AISLE,840,"$31,980",$0,"$2,500","$34,480","$56,892","$22,412",65%
Prime Series,ZENITH,924,"$34,200",$0,"$2,500","$36,700","$60,555","$23,855",65%
Prime Series,ZENITH REVERSE AISLE,924,"$34,200",$0,"$2,500","$36,700","$60,555","$23,855",65%
Prime Series,PIKE,576,"$26,495",$0,"$2,500","$28,995","$47,842","$18,847",65%
Prime Series,FULTON,768,"$29,995",$0,"$2,500","$32,495","$53,617","$21,122",65%
Prime Series,FULTON REVERSE AISLE,768,"$29,995",$0,"$2,500","$32,495","$53,617","$21,122",65%
Prime Series,GALLATIN,832,"$30,995",$0,"$2,500","$33,495","$55,267","$21,772",65%
Prime Series,GALLATIN REVERSE AISLE,832,"$30,995",$0,"$2,500","$33,495","$55,267","$21,772",65%
Prime Series,BARKLEY,896,"$31,960",$0,"$2,500","$34,460","$56,859","$22,399",65%
Prime Series,BARKLEY REVERSE AISLE,896,"$31,960",$0,"$2,500","$34,460","$56,859","$22,399",65%
Prime Series,SPIRE,960,"$33,220",$0,"$2,500","$35,720","$58,938","$23,218",65%
Prime Series,SPIRE REVERSE AISLE,960,"$33,220",$0,"$2,500","$35,720","$58,938","$23,218",65%
Prime Series,CASEY,960,"$34,095",$0,"$2,500","$36,595","$60,382","$23,787",65%
Prime Series,VERTEX,1056,"$36,720",$0,"$2,500","$39,220","$64,713","$25,493",65%
Prime Series,VERTEX REVERSE AISLE,1056,"$36,720",$0,"$2,500","$39,220","$64,713","$25,493",65%
Prime Series,HICKMAN,1056,"$38,580",$0,"$2,500","$41,080","$67,782","$26,702",65%
Prime Series,PENDLETON,1056,"$38,580",$0,"$2,500","$41,080","$67,782","$26,702",65%
Prime Series,BARDSTOWN,1152,"$37,350",$0,"$2,500","$39,850","$65,752","$25,902",65%
Prime Series,BARDSTOWN REVERSE AISLE,1152,"$37,350",$0,"$2,500","$39,850","$65,752","$25,902",65%
Prime Series,BALLARD,1152,"$39,210",$0,"$2,500","$41,710","$68,822","$27,112",65%
Prime Series,POWELL,1152,"$39,210",$0,"$2,500","$41,710","$68,822","$27,112",65%
Prime Series,RIDGE,1216,"$39,620",$0,"$2,500","$42,120","$69,498","$27,378",65%
Prime Series,RIDGE REVERSE AISLE,1216,"$39,620",$0,"$2,500","$42,120","$69,498","$27,378",65%
Prime Series,MONTE,1216,"$40,695",$0,"$2,500","$43,195","$71,272","$28,077",65%
Prime Series,MONTE REVERSE AISLE,1216,"$40,695",$0,"$2,500","$43,195","$71,272","$28,077",65%
Prime Series,SOMERSET,1216,"$40,995",$0,"$2,500","$43,495","$71,767","$28,272",65%
Prime Series,FLOYD,1216,"$40,995",$0,"$2,500","$43,495","$71,767","$28,272",65%
Prime Series,PLATEAU,1152,"$46,185",$0,"$2,500","$48,685","$80,330","$31,645",65%
Prime Series,HORIZON,1344,"$49,210",$0,"$2,500","$51,710","$85,322","$33,612",65%
Prime Series,ESTILL,1232,"$45,190",$0,"$2,500","$47,690","$78,688","$30,998",65%
Prime Series,CHURCHILL,1344,"$47,400",$0,"$2,500","$49,900","$82,335","$32,435",65%
Prime Series,MERCER,1456,"$48,795",$0,"$2,500","$51,295","$84,637","$33,342",65%
Prime Series,APEX,1568,"$49,645",$0,"$2,500","$52,145","$86,039","$33,894",65%
Prime Series,CROWN,1568,"$50,445",$0,"$2,500","$52,945","$87,359","$34,414",65%
Prime Series,THE GRAND,1904,"$58,695",$0,"$2,500","$61,195","$100,972","$39,777",65%
Prime Series,PINNACLE,1568,"$63,995",$0,"$2,500","$66,495","$109,717","$43,222",65%
